
Losowy -> Wr: 1 | Rd: 1 | Din: 0xd5 | Dout: 0x51 | Wr_Ptr: 0xf (wrap:1) | Rd_Ptr: 0x0 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0x1d | Dout: 0x51 | Wr_Ptr: 0xf (wrap:1) | Rd_Ptr: 0x0 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x0a | Dout: 0x52 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x1 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0xf2 | Dout: 0x52 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x1 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0xd8 | Dout: 0x53 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x2 (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0xeb | Dout: 0x54 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x3 (wrap:1) | Count: 13 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0xae | Dout: 0x54 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x3 (wrap:1) | Count: 13 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0x0b | Dout: 0x54 | Wr_Ptr: 0x0 (wrap:0) | Rd_Ptr: 0x3 (wrap:1) | Count: 13 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x4f | Dout: 0x55 | Wr_Ptr: 0x1 (wrap:0) | Rd_Ptr: 0x4 (wrap:1) | Count: 13 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0x7e | Dout: 0x55 | Wr_Ptr: 0x2 (wrap:0) | Rd_Ptr: 0x4 (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0xd9 | Dout: 0x56 | Wr_Ptr: 0x3 (wrap:0) | Rd_Ptr: 0x5 (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0x9f | Dout: 0x56 | Wr_Ptr: 0x3 (wrap:0) | Rd_Ptr: 0x5 (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0xb7 | Dout: 0x56 | Wr_Ptr: 0x4 (wrap:0) | Rd_Ptr: 0x5 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
